Source,Date,Link,Conservative,Liberal,NDP,Bloc QC,Green,Other,,,Campaign
Ipsos Reid,"August 9, 2010",HTML,34,31,15,9,9,,,payment required,FALSE
Harris-Decima,"August 9, 2010",PDF,34,28,15,9,12,,,±2.2 pp (c=95%),FALSE
Leger Marketing,"August 4, 2010",HTML,37,28,16,9,8,,,±2.5 pp (c=95%),FALSE
EKOS Research Associates,"August 3, 2010",PDF,29.7,28.5,17.4,10.4,11.1,,,±2.5 pp (c=95%),FALSE
EKOS Research Associates,"July 27, 2010",PDF,33.2,25.2,17.4,10.1,11.1,,,±2.6 pp (c=95%),FALSE
Harris-Decima,"July 25, 2010",PDF,31,26,18,10,12,,,±2.2 pp (c=95%),FALSE
EKOS Research Associates,"July 20, 2010",PDF,32.4,25.5,18.4,10.0,10.1,,,±3.1 pp (c=95%),FALSE
EKOS Research Associates,"July 13, 2010",PDF,31.6,27.5,14.7,10.1,13.3,,,±2.6 pp (c=95%),FALSE
Angus Reid Public Opinion,"July 8, 2010",PDF,36,27,20,10,7,,,±2.2 pp (c=95%),FALSE
Ipsos Reid,"July 8, 2010",HTML,35,29,15,11,10,,,payment required,FALSE
Environics,"July 8, 2010",PDF,35,32,15,9,6,,,±2.2 pp (c=95%),FALSE
EKOS Research Associates,"July 6, 2010",PDF,32.1,25.8,17.5,9.7,12.2,,,±1.7 pp (c=95%),FALSE
EKOS Research Associates,"June 21, 2010",PDF,31,27.7,16.5,9.3,13,,,±2.4 pp (c=95%),FALSE
Harris-Decima,"June 20, 2010",PDF,34,27,17,11,10,,,±2.2 pp (c=95%),FALSE
EKOS Research Associates,"June 15, 2010",PDF,30.5,26.3,17.4,10.5,12.3,,,±2.4 pp (c=95%),FALSE
Ipsos Reid,"June 10, 2010",HTML,35,27,16,10,11,,,±3.1 pp,FALSE
EKOS Research Associates,"June 8, 2010",PDF,31.4,26.8,16.6,8.9,12.6,,,2.3,FALSE
Nanos Research,"June 3, 2010",PDF,35.6,29.2,20.7,9.4,5.1,,,3.6,FALSE
EKOS Research Associates,"June 1, 2010",PDF,31.7,26.2,17.4,10.3,11.5,,,2.0,FALSE
Leger Marketing,"May 27, 2010",HTML,37,25,17,11,8,,,2.7,FALSE
Angus Reid Public Opinion,"May 27, 2010",PDF,35,27,19,9,8,,,2.2,FALSE
Environics,"May 26, 2010",PDF,36,30,15,10,7,,,2.2,FALSE
EKOS Research Associates,"May 25, 2010",PDF,33.9,25.7,16.4,9.4,11.9,,,2.1,FALSE
Harris-Decima,"May 23, 2010",PDF,36,27,16,8,11,,,2.2,FALSE
EKOS Research Associates,"May 18, 2010",PDF,34.4,25.1,15.3,10.6,12,,,1.9,FALSE
Harris-Decima,"May 16, 2010",PDF,32,28,17,10,11,,,2.2,FALSE
EKOS Research Associates,"May 11, 2010",PDF,33.6,27.1,16.9,9.3,10.6,,,1.9,FALSE
Ipsos Reid,"May 6, 2010",HTML,35,29,16,10,9,,,payment required,FALSE
EKOS Research Associates,"May 4, 2010",PDF,33.1,26.1,16,10.2,11.5,,,2.1,FALSE
Nanos Research,"May 3, 2010",PDF,37.2,33.2,16.2,9.6,3.8,,,3.1,FALSE
Angus Reid Public Opinion,"April 29, 2010",PDF,35,28,19,11,7,,,3.1,FALSE
Leger Marketing,"April 29, 2010",HTML,36,25,20,9,8,,,2.5,FALSE
EKOS Research Associates,"April 27, 2010",PDF,31.9,26.6,17.6,9.7,10.9,,,2.2,FALSE
Harris-Decima,"April 25, 2010",PDF,29,27,20,11,12,,,2.2,FALSE
Ipsos Reid,"April 22, 2010",HTML,35,29,16,9,10,,,payment required,FALSE
EKOS Research Associates,"April 20, 2010",PDF,31.7,27.1,16.3,9.5,12.6,,,2.3,FALSE
EKOS Research Associates,"April 13, 2010",PDF,31.4,29,16.4,8.8,11.1,,,2.7,FALSE
Ipsos Reid,"April 8, 2010",HTML,37,27,15,10,10,,,3.1,FALSE
EKOS Research Associates,"April 6, 2010",PDF,33.6,27.3,15.9,9.6,11.7,,,,FALSE
Harris-Decima,"April 5, 2010",PDF,32,29,17,9,11,,,,FALSE
EKOS Research Associates,"March 30, 2010",PDF,32.2,27,16,9,12.7,,,,FALSE
Angus Reid Public Opinion,"March 26, 2010",PDF,35,29,20,9,7,,,,FALSE
EKOS Research Associates,"March 23, 2010",PDF,33.3,27.7,15.9,9.8,10.4,,,,FALSE
Ipsos Reid,"March 18, 2010",HTML,34,28,18,9,10,,,,FALSE
EKOS Research Associates,"March 16, 2010",PDF,33.1,28.9,15.7,9.2,10.8,,,,FALSE
Nanos Research,"March 11, 2010",PDF,34.7,34.6,17.8,7.7,5.2,,,,FALSE
EKOS Research Associates,"March 9, 2010",PDF,31.9,29.6,16,9.1,11,,,,FALSE
Harris-Decima,"March 7, 2010",PDF,33,29,16,10,11,,,,FALSE
EKOS Research Associates,"March 2, 2010",PDF,32.4,29.4,15.2,9.4,10.5,,,,FALSE
Harris-Decima,"February 28, 2010",HTML,31,31,16,8,12,,,,FALSE
Angus Reid Public Opinion,"February 26, 2010",PDF,33,29,20,9,9,,,,FALSE
Environics,"February 24, 2010",HTML,31,30,16,9,13,,,,FALSE
EKOS Research Associates,"February 23, 2010",PDF,33.4,30.3,15.8,8.2,10.4,,,,FALSE
Ipsos Reid,"February 22, 2010",HTML,37,29,16,9,7,,,,FALSE
EKOS Research Associates,"February 16, 2010",PDF,31.2,29.0,16.5,8.8,11.8,,,,FALSE
Harris-Decima,"February 14, 2010",PDF,32,30,16,10,10,,,,FALSE
Angus Reid Public Opinion,"February 13, 2010",PDF,34,30,18,9,8,,,,FALSE
Environics,"February 9, 2010",HTML,33,37,13,8,9,,,,FALSE
EKOS Research Associates,"February 9, 2010",PDF,31.0,29.0,15.5,10.3,11.3,,,,FALSE
Nanos Research,"February 4, 2010",PDF,35.6,33.9,16.4,8.5,5.6,,,,FALSE
EKOS Research Associates,"February 2, 2010",PDF,31.0,31.9,15.4,8.4,10.9,,,,FALSE
Harris-Decima,"January 31, 2010",PDF,32,32,15,10,9,,,,FALSE
Angus Reid Public Opinion,"January 26, 2010",PDF,33,29,19,10,7,,,,FALSE
EKOS Research Associates,"January 26, 2010",PDF,31.1,31.6,14.6,9.1,11,,,,FALSE
Harris-Decima,"January 24, 2010",HTML,32,31,15,10,10,,,,FALSE
Ipsos Reid,"January 21, 2010",HTML,34,31,17,9,8,,,,FALSE
EKOS Research Associates,"January 19, 2010",PDF,31.5,30.9,14.9,9.1,11.5,,,,FALSE
Angus Reid Public Opinion,"January 13, 2010",PDF,34,28,19,9,8,,,,FALSE
EKOS Research Associates,"January 12, 2010",PDF,30.9,29.3,15.3,10.2,11.9,,,,FALSE
Harris-Decima,"January 10, 2010",PDF,34,30,16,9,9,,,,FALSE
Strategic Counsel,"January 8, 2010",HTML,31,30,18,9,10,,,,FALSE
Angus Reid Public Opinion,"January 6, 2010",HTML,36,29,17,10,8,,,,FALSE
EKOS Research Associates,"January 5, 2010",PDF,33.1,27.8,16.0,9.8,13.4,,,,FALSE
EKOS Research Associates,"December 15, 2009",PDF,35.9,26.7,17.0,9.2,11.2,,,,FALSE
Nanos Research,"December 13, 2009",PDF,39.5,30.2,18.7,7.7,4,,,,FALSE
Angus Reid Public Opinion,"December 10, 2009",PDF,36,29,16,11,6,,,,FALSE
EKOS Research Associates,"December 8, 2009",PDF,35.6,26.5,16.7,9.9,11.3,,,,FALSE
EKOS Research Associates,"November 24, 2009",PDF,36.9,27.1,15.3,9.4,11.4,,,,FALSE
Ipsos Reid,"November 19, 2009",HTML,37,24,19,9,10,,,,FALSE
Angus Reid Public Opinion,"November 16, 2009",PDF,38,23,17,11,10,,,,FALSE
Nanos Research,"November 10, 2009",PDF,38,28.8,17.9,9.3,5.9,,,,FALSE
EKOS Research Associates,"November 10, 2009",PDF,36.6,26.6,16.8,8.8,11.2,,,,FALSE
EKOS Research Associates,"November 3, 2009",HTML,37.4,26.8,16.3,9.4,10.0,,,,FALSE
EKOS Research Associates,"October 27, 2009",HTML,38.4,26.8,16.7,8.2,9.9,,,,FALSE
Angus Reid Strategies,"October 24, 2009",PDF,40,26,17,9,7,,,,FALSE
Ipsos Reid,"October 22, 2009",HTML,40,25,13,11,11,,,,FALSE
Environics,"October 21, 2009",HTML,38,26,16,8,10,,,,FALSE
EKOS Research Associates,"October 20, 2009",HTML,38.3,27.1,14.5,9.0,11.0,,,,FALSE
Nanos Research,"October 18, 2009",PDF,39.8,30,16.6,8.9,4.6,,,,FALSE
Angus Reid Strategies,"October 14, 2009",PDF,41,27,16,8,6,,,,FALSE
EKOS Research Associates,"October 13, 2009",HTML,40.7,25.5,14.3,9.1,10.5,,,,FALSE
Harris-Decima,"October 12, 2009",HTML,35,28,15,10,10,,,,FALSE
Ipsos Reid,"October 8, 2009",HTML,39,29,13,10,8,,,,FALSE
EKOS Research Associates,"October 6, 2009",HTML,39.7,25.7,15.2,9.7,9.7,,,,FALSE
Strategic Counsel,"October 4, 2009",HTML,41,28,14,9,9,,,,FALSE
Angus Reid Strategies,"September 30, 2009",PDF,37,27,17,11,6,,,,FALSE
EKOS Research Associates,"September 29, 2009",HTML,36.0,29.7,13.9,9.8,10.5,,,,FALSE
Angus Reid Strategies,"September 24, 2009",PDF,37,29,16,9,8,,,,FALSE
EKOS Research Associates,"September 22, 2009",HTML,37.0,29.9,13.8,9.1,10.2,,,,FALSE
EKOS Research Associates,"September 15, 2009",HTML,35.1,29.9,16.5,9.6,9.0,,,,FALSE
Angus Reid Strategies,"September 13, 2009",PDF,36,29,17,10,7,,,,FALSE
Harris-Decima,"September 13, 2009",PDF,34,30,15,9,10,,,,FALSE
Ipsos Reid,"September 13, 2009",HTML,39,30,12,9,8,,,,FALSE
EKOS Research Associates,"September 8, 2009",HTML,34.2,30.8,14.8,10,10.1,,,,FALSE
Harris-Decima,"September 6, 2009",HTML,34,31,15,8,10,,,,FALSE
Strategic Counsel,"September 6, 2009",HTML,35,30,14,12,9,,,,FALSE
Nanos Research,"September 2, 2009",PDF,37.5,33.4,14.8,9.7,4.6,,,,FALSE
Angus Reid Strategies,"September 2, 2009",PDF,33,32,19,9,7,,,,FALSE
EKOS Research Associates,"September 1, 2009",PDF,32.6,32.6,16.5,8.3,9.9,,,,FALSE
Pollara,"September 1, 2009",HTML,36,36,16,8,3,,,,FALSE
Angus Reid Strategies,"August 26, 2009",PDF,34,30,18,8,9,,,,FALSE
EKOS Research Associates,"August 25, 2009",PDF,32.6,30.9,15.7,9.5,11.3,,,,FALSE
Harris-Decima,"August 24, 2009",HTML,31,32,16,9,11,,,,FALSE
Ipsos Reid,"August 24, 2009",HTML,39,28,14,8,10,,,,FALSE
EKOS Research Associates,"August 18, 2009",PDF,32.0,30.2,17.3,8.7,11.0,,,,FALSE
EKOS Research Associates,"August 11, 2009",PDF,32.7,31.0,16.5,9.0,10.1,,,,FALSE
EKOS Research Associates,"August 4, 2009",PDF,34.9,31.9,13.8,8.6,10.8,,,,FALSE
Nanos Research,"August 2, 2009",PDF,31.3,33.8,18.7,9.2,7.0,,,,FALSE
Angus Reid Strategies,"July 28, 2009",PDF,33,34,16,10,7,,,,FALSE
