Source,Date,Link,Conservative,NDP,Liberal,Bloc QC,Green,Error,Sample,Type,Margin,Campaign
Nanos Research,"October 10, 2015",PDF,29.0,25.0,35.1,5.2,5.1,±2.8 pp,"1,200",telephone – rolling (1/3),6.1,TRUE
Forum Research,"October 9, 2015",PDF,31,23,37,5,3,±3 pp,"1,427",IVR,6,TRUE
Nanos Research,"October 9, 2015",PDF,28.6,24.9,34.8,5.5,5.4,±2.8 pp,"1,200",telephone – rolling (1/3),6.2,TRUE
Angus Reid,"October 9, 2015",PDF,33,25,31,6,3,±3 pp,"1,083",online,2,TRUE
EKOS,"October 8, 2015",PDF,33.7,20.4,33.8,3.5,7.2,±2.4 pp,"1,618",IVR/telephone – rolling (1/3),0.1,TRUE
Nanos Research,"October 8, 2015",PDF,31.0,25.0,34.0,5.3,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),3.0,TRUE
Innovative Research,"October 8, 2015",PDF,30,24,35,5,5,n.a,"3,417",online,5,TRUE
Mainstreet Research,"October 7, 2015",HTML,36,20,35,4,5,±1.3 pp,"5,630",IVR,1,TRUE
Léger Marketing,"October 7, 2015",PDF,30,25,34,6,4,±2.1 pp,"2,087",online,4,TRUE
EKOS,"October 7, 2015",PDF,32.5,21.1,34.1,3.6,7.3,±2.3 pp,"1,753",IVR/telephone – rolling (1/3),1.6,TRUE
Nanos Research,"October 7, 2015",PDF,31.6,24.2,33.5,5.6,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.9,TRUE
Forum Research,"October 6, 2015",PDF,31,26,35,4,3,±3 pp,"1,447",IVR,4,TRUE
Abacus Data,"October 6, 2015",PDF,33,24,32,4,5,±2.2 pp,"2,000",online,1,TRUE
EKOS,"October 6, 2015",PDF,34.1,21.4,32.3,4.0,6.9,±2.3 pp,"1,788",IVR/telephone – rolling (1/3),1.8,TRUE
Nanos Research,"October 6, 2015",PDF,32.1,23.0,34.3,5.1,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),2.2,TRUE
EKOS,"October 5, 2015",PDF,35.1,22.2,30.9,4.0,6.6,±2.4 pp,"1,658",IVR/telephone – rolling,4.2,TRUE
Nanos Research,"October 5, 2015",PDF,31.5,23.1,35.0,4.9,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),3.5,TRUE
Ipsos Reid,"October 5, 2015",HTML,33,26,32,5,3,±2.9 pp,"1,441",online,1,TRUE
Nanos Research,"October 4, 2015",PDF,31.0,22.8,35.6,4.8,4.7,±2.8 pp,"1,200",telephone – rolling (1/3),4.6,TRUE
Nanos Research,"October 3, 2015",PDF,31.0,24.3,35.3,4.3,4.5,±2.8 pp,"1,200",telephone – rolling (1/3),4.3,TRUE
Nanos Research,"October 2, 2015",PDF,30.5,25.1,34.6,4.5,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),4.1,TRUE
Mainstreet Research,"October 1, 2015",HTML,37,24,29,4,7,±1.4 pp,"5,197",IVR,8,TRUE
Innovative Research,"October 1, 2015",PDF,29,29,31,5,6,n.a,"1,562",online,2,TRUE
Nanos Research,"October 1, 2015",PDF,31.9,25.9,33.5,4.3,3.9,±2.8 pp,"1,200",telephone – rolling (1/3),1.6,TRUE
Léger Marketing,"September 30, 2015",PDF,30,26,32,6,6,±2.1 pp,"2,107",online,2,TRUE
Angus Reid,"September 30, 2015",PDF,34,27,27,6,5,±2.5 pp,"2,021",online,7,TRUE
Nanos Research,"September 30, 2015",PDF,32.8,26.1,31.7,4.8,4.1,±2.8 pp,"1,200",telephone – rolling (1/3),1.1,TRUE
Forum Research,"September 29, 2015",PDF,34,28,27,5,5,±3 pp,"1,499",IVR,6,TRUE
Nanos Research,"September 29, 2015",PDF,32.1,26.3,32.2,4.6,4.4,±2.8 pp,"1,200",telephone – rolling (1/3),0.1,TRUE
EKOS,"September 29, 2015",PDF,33.4,25.6,26.7,5.3,7.8,±1.9 pp,"2,609",IVR,6.7,TRUE
Nanos Research,"September 28, 2015",PDF,32.6,27.0,31.4,4.4,4.0,±2.8 pp,"1,200",telephone – rolling (1/3),1.2,TRUE
Ipsos Reid,"September 28, 2015",HTML,32,27,33,4,4,±3.0 pp,"1,354",online,1,TRUE
Nanos Research,"September 27, 2015",PDF,33.0,26.9,31.6,4.2,3.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.4,TRUE
Abacus Data,"September 27, 2015",PDF,32,27,29,5,5,±1.6 pp,"3,814",online,3,TRUE
Nanos Research,"September 26, 2015",PDF,31.5,27.6,32.5,4.0,3.7,±2.8 pp,"1,200",telephone – rolling (1/3),1.0,TRUE
Nanos Research,"September 25, 2015",PDF,29.6,30.3,31.8,3.1,4.5,±2.8 pp,"1,200",telephone – rolling (1/3),1.5,TRUE
Nanos Research,"September 24, 2015",PDF,28.9,31.1,32.3,2.5,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),1.2,TRUE
Innovative Research,"September 24, 2015",PDF,31,29,28,3,8,n.a.,"2,805",online,2,TRUE
Forum Research,"September 23, 2015",PDF,31,28,31,4,4,±3 pp,"1,557",IVR,Tie,TRUE
Nanos Research,"September 23, 2015",PDF,30.5,30.8,31.5,2.3,3.7,±2.8 pp,"1,200",telephone – rolling (1/3),0.7,TRUE
Léger Marketing,"September 23, 2015",PDF,31,29,31,5,5,±2.1 pp,"2,115",online,Tie,TRUE
Innovative Research,"September 23, 2015",PDF,32,27,30,3,7,±2.5 pp,"1,784",telephone,2,TRUE
Nanos Research,"September 22, 2015",PDF,31.5,29.1,31.6,2.6,4.2,±2.8 pp,"1,200",telephone – rolling (1/3),0.1,TRUE
EKOS,"September 22, 2015",PDF,35.4,24.5,26.3,4.2,7.7,±2.0 pp,"2,343",IVR,9.1,TRUE
Nanos Research,"September 21, 2015",PDF,31.3,29.4,30.3,3.4,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),1.0,TRUE
Ipsos Reid,"September 21, 2015",HTML,27,30,33,5,4,±3.4 pp,"1,103",online,3,TRUE
Nanos Research,"September 20, 2015",PDF,31.0,29.1,29.4,3.8,5.5,±2.8 pp,"1,200",telephone – rolling (1/3),1.6,TRUE
Nanos Research,"September 19, 2015",PDF,30.8,29.1,30.3,3.7,5.1,±2.8 pp,"1,200",telephone – rolling (1/3),0.5,TRUE
Forum Research,"September 18, 2015",PDF,33,29,29,4,4,±3 pp,922,IVR,4,TRUE
Nanos Research,"September 18, 2015",PDF,30.4,28.9,30.8,3.0,6.0,±2.8 pp,"1,200",telephone – rolling (1/3),0.4,TRUE
Nanos Research,"September 17, 2015",PDF,29.1,31.3,31.0,2.3,5.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.3,TRUE
Nanos Research,"September 16, 2015",PDF,30.1,30.4,30.9,2.5,5.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.5,TRUE
Forum Research,"September 15, 2015",PDF,32,30,28,4,6,±3 pp,"1,402",IVR,2,TRUE
Nanos Research,"September 15, 2015",PDF,29.0,31.6,30.1,2.8,5.3,±2.8 pp,"1,200",telephone – rolling (1/3),1.5,TRUE
Environics,"September 15, 2015",HTML,26,34,29,4,8,±3.6 pp,"1,001",telephone,5,TRUE
EKOS,"September 15, 2015",PDF,29.6,29.9,27.4,3.7,7.6,±1.9 pp,"2,704",IVR,0.3,TRUE
Nanos Research,"September 14, 2015",PDF,31.0,30.4,29.6,2.9,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),0.6,TRUE
Ipsos Reid,"September 13, 2015",HTML,29,32,31,4,4,±3.6 pp,980,online,1,TRUE
Nanos Research,"September 13, 2015",PDF,30.2,31.3,30.3,2.6,4.3,±2.8 pp,"1,200",telephone – rolling (1/3),1.0,TRUE
Nanos Research,"September 12, 2015",PDF,31.7,30.8,30.5,2.5,4.1,±2.8 pp,"1,200",telephone – rolling (1/3),0.9,TRUE
Abacus Data,"September 11, 2015",PDF,29,31,29,4,6,±2.6 pp,"1,500",online,2,TRUE
Nanos Research,"September 11, 2015",PDF,30.9,30.1,31.7,2.8,4.0,±2.8 pp,"1,200",telephone – rolling (1/3),0.8,TRUE
Forum Research,"September 10, 2015",PDF,28,36,29,3,3,±3 pp,"1,308",IVR,7,TRUE
Nanos Research,"September 10, 2015",PDF,30.8,29.9,30.9,3.2,4.6,±2.8 pp,"1,200",telephone – rolling (1/3),0.1,TRUE
Innovative Research,"September 10, 2015",PDF,28,31,30,4,6,±2.2 pp,"2,121",online,1,TRUE
Nanos Research,"September 9, 2015",PDF,28.6,30.6,32.1,3.6,4.8,±2.8 pp,"1,200",telephone – rolling (1/3),1.5,TRUE
Nanos Research,"September 8, 2015",PDF,25.9,31.2,32.5,3.7,6.1,±2.8 pp,"1,200",telephone – rolling (1/3),1.3,TRUE
Ipsos Reid,"September 8, 2015",HTML,29,34,30,3,3,±3.6 pp,949,online,4,TRUE
EKOS,"September 8, 2015",PDF,31.8,29.6,26.9,4.6,5.9,±1.9 pp,"2,677",IVR,2.2,TRUE
Nanos Research,"September 6, 2015",PDF,26.2,32.7,30.8,3.7,6.0,±2.8 pp,"1,200",telephone – rolling,1.9,TRUE
Léger Marketing,"September 2, 2015",PDF,28,31,30,4,5,±2.1 pp,"2,119",online,1,TRUE
Forum Research,"September 1, 2015",PDF,24,36,32,4,4,±3 pp,"1,384",IVR,4,TRUE
EKOS,"September 1, 2015",PDF,29.5,30.2,27.7,4.2,6.4,±1.7 pp,"3,243",IVR,0.7,TRUE
Abacus Data,"August 28, 2015",PDF,30,31,28,3,7,±2.6 pp,"1,500",online,1,TRUE
Nanos Research,"August 28, 2015",PDF,28.8,30.8,29.7,4.2,5.4,±3.1 pp,"1,000",telephone – rolling (1/4),1.1,TRUE
Innovative Research,"August 26, 2015",PDF,30,32,27,4,6,±1.7 pp,"3,274",online,2,TRUE
Ipsos Reid,"August 26, 2015",HTML,29,33,30,4,4,±3.5 pp,"1,000",online,3,TRUE
EKOS,"August 25, 2015",PDF,28.1,33.6,26.7,4.1,5.8,±1.7 pp,"3,524",IVR,5.5,TRUE
Forum Research,"August 24, 2015",PDF,23,40,30,3,3,±3 pp,"1,440",IVR,10,TRUE
Angus Reid[LV],"August 24, 2015",PDF,32,36,23,4,4,±1.2 pp,"6,226",online,4,TRUE
Nanos Research,"August 21, 2015",PDF,30.1,29.1,29.9,4.7,5.2,±3.1 pp,"1,000",telephone – rolling (1/4),0.2,TRUE
Forum Research,"August 19, 2015",PDF,29,34,28,4,4,±3 pp,"1,473",IVR,5,TRUE
Abacus Data,"August 17, 2015",PDF,29,35,26,3,6,±2.6 pp,"1,439",online,6,TRUE
Nanos Research,"August 14, 2015",PDF,31.8,29.0,28.7,4.5,5.3,±3.1 pp,"1,000",telephone – rolling (1/4),2.8,TRUE
Léger Marketing,"August 12, 2015",PDF,27,33,28,5,6,±2.1 pp,"2,095",online,5,TRUE
Mainstreet Research,"August 11, 2015",HTML,31,30,29,4,6,±1.35 pp,"5,401",IVR,1,TRUE
Forum Research,"August 11, 2015",PDF,28,34,27,6,4,±3 pp,"1,392",IVR,6,TRUE
EKOS,"August 11, 2015",PDF,30.4,31.8,24.2,4.2,7.3,±1.8 pp,"3,055",IVR,1.4,TRUE
Ipsos Reid,"August 10, 2015",HTML,30.8,33.0,27.8,3.9,4.0,±2.38 pp,"2,022",telephone/online,2.2,TRUE
Nanos Research,"August 7, 2015",PDF,31.2,30.4,28.6,4.2,5.0,±3.1 pp,"1,000",telephone – rolling (1/4),0.8,TRUE
Forum Research,"August 2, 2015",PDF,28,39,25,5,3,±3 pp,"1,399",IVR,11,TRUE
Nanos Research,"July 31, 2015",PDF,31.5,30.1,29.3,3.3,5.4,±3.1 pp,"1,000",telephone – rolling (1/2),1.4,FALSE
Innovative Research,"July 30, 2015",HTML,29.3,33.7,25.8,4.6,5.6,±1.9 pp,"2,833",online,4.4,FALSE
Forum Research,"July 28, 2015",PDF,33,33,25,4,4,±3.0 pp,"1,397",IVR,Tie,FALSE
EKOS,"July 28, 2015",PDF,30.1,33.8,23.4,4.7,6.1,±2.1 pp,"2,247",IVR,3.7,FALSE
Ipsos Reid,"July 27, 2015",HTML,33,34,25,5,3,±2.5 pp,"1,571",online,1,FALSE
Mainstreet Research,"July 21, 2015",HTML,38,27,25,4,6,±1.37 pp,"5,147",IVR,11,FALSE
Forum Research,"July 20, 2015",PDF,28,34,29,5,4,±3.0 pp,"1,208",IVR,6,FALSE
Nanos Research,"July 17, 2015",PDF,31,31,27,5,6,±3.1 pp,"1,000",telephone – rolling,Tie,FALSE
Leger Marketing,"July 16, 2015",PDF,32,32,25,5,6,±2.5 pp,"1,545",online,Tie,FALSE
EKOS,"July 14, 2015",PDF,29.4,32.6,24.0,5.3,6.6,±2.0 pp,"2,538",IVR,3.2,FALSE
Forum Research,"July 13, 2015",PDF,27,34,27,7,5,±3.0 pp,"1,251",IVR,7,FALSE
Forum Research,"July 7, 2015",PDF,32,32,26,5,3,±3.0 pp,"1,200",IVR,Tie,FALSE
Abacus Data,"July 6, 2015",PDF,29,32,27,6,6,±2.2 pp,"2,000",online,3,FALSE
Forum Research,"June 29, 2015",PDF,27,32,29,6,4,±3.0 pp,"1,221",IVR,3,FALSE
EKOS,"June 28, 2015",PDF,27.3,30.9,25.6,6.3,6.6,±2.3 pp,"1,752",IVR,3.6,FALSE
Forum Research,"June 23, 2015",PDF,28,36,28,5,2,±3.0 pp,"1,268",IVR,8,FALSE
Ipsos Reid,"June 23, 2015",HTML,28,35,29,6,2,±2.5 pp,"2,003",online,6,FALSE
Environics,"June 18, 2015",HTML,28,30,28,6,7,±2.4 pp,"2,003",telephone,2,FALSE
Forum Research,"June 16, 2015",PDF,26,34,28,7,5,±3.0 pp,"1,281",IVR,6,FALSE
EKOS,"June 16, 2015",PDF,29.4,30.2,25.0,5.9,7.1,±1.6 pp,"3,834",IVR,0.8,FALSE
EKOS,"June 9, 2015",PDF,26.9,33.6,23.3,5.1,7.3,±2.0 pp,"2,491",IVR,6.7,FALSE
Angus Reid,"June 7, 2015",PDF,31,36,23,5,5,±1.2 pp,"6,005",online,5,FALSE
Forum Research,"June 5, 2015",PDF,31,28,32,3,5,±3.0 pp,"1,156",IVR,1,FALSE
EKOS,"June 2, 2015",PDF,29.2,31.3,23.9,4.8,7.4,±2.1 pp,"2,204",IVR,2.1,FALSE
Abacus Data,"May 31, 2015",PDF,31,28,28,4,7,±2.6 pp,"1,500",online,3,FALSE
Ipsos Reid,"May 29, 2015",HTML,31,30,31,4,4,±3.5 pp,"1,003",online,Tie,FALSE
Nanos Research,"May 29, 2015",PDF,32,30,29,4,5,±3.1 pp,"1,000",telephone – rolling (1/2),2,FALSE
EKOS,"May 26, 2015",PDF,29.5,28.9,26.8,4.1,7.8,±1.8 pp,"2,934",IVR,0.6,FALSE
EKOS,"May 19, 2015",PDF,28.1,29.6,26.1,5.4,7.6,±1.9 pp,"2,675",IVR,1.5,FALSE
Nanos Research,"May 14, 2015",PDF,32.9,25.2,31.3,3.6,5.3,±3.1 pp,"1,000",telephone – rolling,1.6,FALSE
Forum Research,"May 13, 2015",PDF,31,30,31,3,4,±3.0 pp,"1,286",IVR,Tie,FALSE
EKOS,"May 12, 2015",PDF,30.0,29.1,27.0,4.1,8.0,±2.1 pp,"2,177",IVR,0.9,FALSE
EKOS,"May 5, 2015",PDF,30.3,24.2,29.6,4.2,7.3,±1.8 pp,"3,017",IVR,0.7,FALSE
Leger Marketing,"April 30, 2015",PDF,33,21,34,4,7,±2.5 pp,"1,488",online,1,FALSE
EKOS,"April 28, 2015",PDF,32.4,21.9,28.7,4.1,9.9,±1.6 pp,"3,757",IVR,3.7,FALSE
Abacus Data,"April 24, 2015",PDF,36,24,28,5,6,±2.6 pp,"1,500",online,8,FALSE
Forum Research,"April 22, 2015",PDF,35,23,31,5,6,±3.0 pp,977,IVR,4,FALSE
EKOS,"April 21, 2015",PDF,31.8,23.5,27.6,4.9,7.5,±1.6 pp,"3,850",IVR,4.0,FALSE
Nanos Research,"April 17, 2015",PDF,29,25,34,4,8,±3.1 pp,"1,000",telephone – rolling,5,FALSE
Forum Research,"April 16, 2015",PDF,33,22,35,3,6,±3.0 pp,"1,365",IVR,2,FALSE
EKOS,"April 14, 2015",PDF,32.2,22.7,28.5,4.9,8.0,±1.7 pp,"3,399",IVR,3.7,FALSE
Ipsos Reid,"April 7, 2015",HTML,35,25,33,4,3,±3.5 pp,"1,001",online,2,FALSE
EKOS,"April 7, 2015",PDF,28.7,22.9,30.1,4.2,9.2,±1.7 pp,"3,306",IVR,1.4,FALSE
Forum Research,"March 31, 2015",PDF,31,23,34,5,5,±3.0 pp,"1,239",IVR,3,FALSE
EKOS,"March 31, 2015",PDF,31.9,22.6,27.6,5.2,9.6,±1.6 pp,"3,901",IVR,4.3,FALSE
Oraclepoll Research,"March 30, 2015",PDF,35.3,18.7,31.4,5.9,8.7,±1.8 pp,"3,040",telephone,3.9,FALSE
EKOS,"March 24, 2015",PDF,31.8,23.2,28.5,4.7,8.7,±1.5 pp,"4,311",IVR,3.3,FALSE
Abacus Data,"March 22, 2015",PDF,32,23,33,4,6,±3.1 pp,"1,000",online,1,FALSE
Leger Marketing,"March 18, 2015",PDF,34,20,35,4,6,±2.5 pp,"1,511",online,1,FALSE
EKOS,"March 17, 2015",PDF,30.2,21.2,32.1,4.8,7.9,±1.6 pp,"3,832",IVR,1.9,FALSE
Forum Research,"March 14, 2015",PDF,32,21,36,4,6,±3.0 pp,"1,370",IVR,4,FALSE
EKOS,"March 10, 2015",PDF,32.9,19.7,30.5,4.8,8.8,±1.8 pp,"2,950",IVR,2.4,FALSE
EKOS,"March 3, 2015",PDF,32.2,19.9,31.3,4.6,9.0,±1.7 pp,"3,241",IVR,0.9,FALSE
Nanos Research,"February 27, 2015",PDF,33,23,34,5,5,±3.1 pp,"1,000",telephone – rolling,1,FALSE
EKOS,"February 24, 2015",PDF,31.1,22.1,31.9,4.5,7.5,±1.6 pp,"3,607",IVR,0.8,FALSE
Ipsos Reid,"February 23, 2015",HTML,33,23,34,6,3,±2.2 pp,"2,650",online,1,FALSE
EKOS,"February 17, 2015",PDF,32.3,19.1,31.6,5.4,8.0,±1.7 pp,"3,386",IVR,0.7,FALSE
Abacus Data,"February 16, 2015",PDF,35,21,34,4,4,±2.6 pp,"1,460",online,1,FALSE
Forum Research,"February 10, 2015",PDF,32,17,39,4,5,±3.0 pp,"1,018",IVR,7,FALSE
EKOS,"February 10, 2015",PDF,32.0,18.9,33.8,4.2,8.5,±1.8 pp,"3,005",IVR,1.8,FALSE
EKOS,"February 3, 2015",PDF,35.0,17.9,32.2,3.8,8.0,±1.8 pp,"2,974",IVR,2.8,FALSE
Leger Marketing,"February 2, 2015",PDF,32,20,35,5,6,±2.5 pp,"1,507",online,3,FALSE
Forum Research,"January 28, 2015",PDF,35,20,34,5,6,±3.0 pp,"1,382",IVR,1,FALSE
Abacus Data,"January 28, 2015",PDF,33,24,32,4,5,±3.1 pp,"1,005",online,1,FALSE
EKOS,"January 13, 2015",PDF,31.0,19.1,33.1,4.4,8.9,±1.5 pp,"4,412",IVR,2.1,FALSE
Ipsos Reid,"January 11, 2015",HTML,35,24,31,6,4,±2.6 pp,"1,915",online,4,FALSE
Forum Research,"January 6, 2015",PDF,33,20,37,4,5,±2.0 pp,"1,741",IVR,4,FALSE
Abacus Data,"December 20, 2014",PDF,34,22,33,4,6,±2.6 pp,"1,438",online,1,FALSE
EKOS,"December 18, 2014",PDF,29.8,20.2,33.8,5.3,7.7,±1.7 pp,"2,183",IVR,3.0,FALSE
Angus Reid,"December 13, 2014",PDF,34,22,34,4,5,±1.2 pp,"6,325",online,Tie,FALSE
EKOS,"December 12, 2014",PDF,30.8,20.0,31.8,5.0,7.8,±1.7 pp,"3,276",IVR,1,FALSE
Forum Research,"December 11, 2014",PDF,33,17,41,3,5,±2.0 pp,"1,658",IVR,8,FALSE
Leger Marketing,"December 11, 2014",PDF,32,19,38,4,6,±2.5 pp,"1,521",online,6,FALSE
Ipsos Reid,"December 1, 2014",HTML,33,24,34,5,4,±1.2 pp,"8,268",online,1,FALSE
Forum Research,"November 20, 2014",PDF,33,18,36,4,8,±3.0 pp,"1,500",IVR,3,FALSE
EKOS,"November 6, 2014",PDF,30.2,20.5,33.5,3.5,9.7,±2.5 pp,"1,561",IVR,3.3,FALSE
Leger Marketing,"November 6, 2014",PDF,33,19,36,3,7,±2.5 pp,"1,493",online,3,FALSE
Abacus Data,"November 4, 2014",PDF,30,24,35,4,6,±2.3 pp,"1,850",online,5,FALSE
EKOS,"October 29, 2014",PDF,27.8,21.4,33.4,5.5,8.2,±2.4 pp,"1,628",IVR,5.6,FALSE
Abacus Data,"October 17, 2014",PDF,30,25,32,4,8,±2.8 pp,"1,248",online,2,FALSE
Leger Marketing,"October 16, 2014",PDF,32,21,37,4,5,±2.5 pp,"1,524",online,5,FALSE
EKOS,"October 15, 2014",PDF,26.4,25.0,38.5,3.1,5.7,±2.4 pp,"1,671",telephone/online,12.1,FALSE
Forum Research,"October 5, 2014",PDF,34,19,38,4,4,±2.5 pp,"1,504",IVR,4,FALSE
EKOS,"September 25, 2014",PDF,24.9,24.4,38.3,4.0,7.7,±2.5 pp,"1,549",telephone/online,13.4,FALSE
Angus Reid,"September 19, 2014",PDF,30,22,36,4,6,±2.5 pp,"1,502",online,6,FALSE
Abacus Data,"September 14, 2014",PDF,30,23,38,3,5,±3.1 pp,"1,075",online,8,FALSE
Ipsos Reid,"September 12, 2014",HTML,31,23,38,5,3,±2.8 pp,"1,605",online,7,FALSE
Forum Research,"September 5, 2014",PDF,34,18,40,4,3,±3.0 pp,"1,267",IVR,6,FALSE
Forum Research,"August 19, 2014",PDF,32,17,41,5,5,±2.0 pp,"1,798",IVR,9,FALSE
Abacus Data,"August 18, 2014",PDF,29,22,35,5,7,±2.5 pp,"1,614",online,6,FALSE
Ipsos Reid,"August 17, 2014",HTML,31,24,38,3,3,±3.5 pp,"1,012",online,7,FALSE
EKOS,"July 23, 2014",PDF,25.6,23.4,38.7,3.7,7.1,±1.9 pp,"2,620",telephone/online,12.1,FALSE
Forum Research,"July 18, 2014",PDF,28,18,44,5,3,±2.0 pp,"1,624",IVR,16,FALSE
Abacus Data,"July 3, 2014",PDF,31,23,34,5,6,±2.2 pp,"2,000",online,3,FALSE
Forum Research,"June 17, 2014",PDF,31,19,39,4,5,±2.0 pp,"1,683",IVR,8,FALSE
Angus Reid,"June 12, 2014",PDF,31,27,30,5,6,±1.2 pp,"6,264",online,1,FALSE
Angus Reid,"May 23, 2014",PDF,31,25,30,5,7,±3.4 pp,"1,503",online,1,FALSE
Forum Research,"May 23, 2014",PDF,30,23,36,6,5,±2.0 pp,"1,694",IVR,6,FALSE
EKOS,"May 1, 2014",PDF,27.6,21.4,34.9,5.3,8.2,±1.6 pp,"3,677",IVR,7.3,FALSE
Forum Research,"April 29, 2014",PDF,30,20,39,6,4,±2.0 pp,"1,572",IVR,9,FALSE
Ipsos Reid,"April 22, 2014",HTML,33,24,33,6,4,±3.5 pp,"1,014",online,Tie,FALSE
Angus Reid,"April 15, 2014",PDF,32,26,30,5,6,±3.4 pp,"1,505",online,2,FALSE
EKOS,"April 3, 2014",PDF,26.7,21.8,35.8,4.8,8.1,±1.5 pp,"4,134",IVR,9.1,FALSE
Forum Research,"March 28, 2014",PDF,29,22,39,5,3,±2.0 pp,"1,764",IVR,10,FALSE
Angus Reid,"March 9, 2014",PDF,28,27,33,5,6,±1.2 pp,"6,445",online,5,FALSE
Abacus Data,"March 5, 2014",PDF,28,23,34,8,6,±2.8 pp,"1,249",online,6,FALSE
Forum Research,"February 19, 2014",PDF,29,21,39,6,4,±2.0 pp,"1,824",IVR,10,FALSE
Ipsos Reid,"February 18, 2014",HTML,29,24,37,5,5,±3.5 pp,"1,034",online,8,FALSE
Angus Reid,"February 16, 2014",PDF,28,26,33,5,6,±2.5 pp,"1,514",online,5,FALSE
Nanos Research,"February 15, 2014",PDF,28.7,23.2,34.0,6.4,5.3,±3.4 pp,"1,000",telephone,5.3,FALSE
Ipsos Reid,"February 4, 2014",HTML,29,27,33,7,4,±3.5 pp,"1,001",online,4,FALSE
EKOS,"January 27, 2014",PDF,29.7,24.3,33.2,4.5,6.2,±2.5 pp,"1,501",telephone/online,3.5,FALSE
Forum Research,"January 25, 2014",PDF,28,24,38,5,4,±3.0 pp,"1,228",IVR,10,FALSE
Abacus Data,"January 18, 2014",PDF,28,24,34,5,7,±2.2 pp,"1,996",online,6,FALSE
