Date,Unnamed: 0,Bloc QC,Campaign,Conservative,Date,Error,Green,Liberal,Link,Margin,NDP,Other,Sample,Source,Type
2006-08-28,269,10,-,33.0,2006-08-28,-,8,28.0,PDF,-,19.0,-,-,Decima Research,-
2006-09-04,268,11,-,34.0,2006-09-04,-,10,30.0,-,-,14.0,-,-,Decima Research,-
2006-09-14,267,8.4,-,38.7,2006-09-14,-,7.0,28.8,PDF,-,17.0,-,-,EKOS,-
2006-09-17,266,12,-,35.0,2006-09-17,-,8,26.0,HTML,-,19.0,-,-,Strategic Counsel,-
2006-10-12,265,9,-,37.0,2006-10-12,-,7,28.0,-,-,18.0,-,-,Environics,-
2006-10-12,264,9.9,-,36.0,2006-10-12,-,6.2,31.7,HTML,-,16.2,-,-,EKOS,-
2006-10-15,263,11,-,32.0,2006-10-15,-,9,32.0,HTML[permanent dead link],-,17.0,-,-,Strategic Counsel,-
2006-10-16,262,11,-,32.0,2006-10-16,-,10,30.0,HTML[permanent dead link],-,15.0,-,-,Decima Research,-
2006-11-02,261,9,-,37.0,2006-11-02,-,5,29.0,HTML,-,19.0,-,-,Ipsos-Reid,-
2006-11-05,260,10,-,31.0,2006-11-05,-,9,28.0,HTML,-,18.0,-,-,Decima Research,-
2006-11-06,259,9,-,33.0,2006-11-06,-,5,32.0,HTML,-,19.0,-,-,Environics,-
2006-11-09,258,13,-,34.0,2006-11-09,-,5,32.0,PDF,-,16.0,-,-,SES Research,-
2006-11-13,257,10,-,31.0,2006-11-13,-,10,33.0,HTML,-,15.0,-,-,Decima Research,-
2006-11-26,256,10,-,34.0,2006-11-26,-,6,32.0,HTML,-,15.0,-,-,Léger Marketing,-
2006-12-03,255,11,-,31.0,2006-12-03,-,7,37.0,HTML,-,14.0,-,-,Strategic Counsel,-
2006-12-03,254,10,-,31.0,2006-12-03,-,11,35.0,PDF,-,12.0,-,-,Decima Research,-
2006-12-07,253,11,-,32.0,2006-12-07,-,5,38.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2006-12-09,252,9,-,33.0,2006-12-09,-,8,40.0,HTML,-,10.0,-,-,EKOS,-
2006-12-13,251,11,-,32.0,2006-12-13,-,7,35.0,HTML,-,12.0,-,-,Decima Research,-
2006-12-14,250,10,-,34.0,2006-12-14,-,5,36.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2006-12-30,249,10,-,34.0,2006-12-30,-,8,31.0,HTML,-,15.0,-,-,Decima Research,-
2006-12-30,248,8,-,34.0,2006-12-30,-,11,32.0,HTML,-,14.0,-,-,Environics,-
2007-01-14,247,11,-,31.0,2007-01-14,-,8,35.0,HTML,-,15.0,-,-,Strategic Counsel,-
2007-01-15,246,10,-,32.0,2007-01-15,-,9,33.0,HTML,-,13.0,-,-,Decima Research,-
2007-01-18,245,-,-,33.0,2007-01-18,-,-,37.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2007-01-21,244,8,-,35.0,2007-01-21,-,9,32.0,HTML,-,13.0,-,-,Léger Marketing,-
2007-01-22,243,13,-,32.0,2007-01-22,-,9,33.0,HTML,-,13.0,-,-,Decima Research,-
2007-02-04,242,8,-,38.0,2007-02-04,-,7,31.0,PDF,-,14.0,-,-,Léger Marketing,-
2007-02-08,241,10,-,33.0,2007-02-08,-,7,33.0,PDF,-,17.0,-,-,SES Research,-
2007-02-12,240,9,-,32.0,2007-02-12,-,8,33.0,HTML,-,15.0,-,-,Decima Research,-
2007-02-18,239,11,-,34.0,2007-02-18,-,12,29.0,HTML,-,14.0,-,-,Strategic Counsel,-
2007-02-18,238,9,-,32.0,2007-02-18,-,11,30.0,HTML,-,15.0,-,-,Decima Research,-
2007-02-24,237,9,-,36.0,2007-02-24,-,8,34.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2007-02-26,236,8,-,36.0,2007-02-26,-,13,27.0,HTML,-,13.0,-,-,Decima Research,-
2007-02-27,235,10,-,40.0,2007-02-27,-,8,26.0,HTML,-,15.0,-,-,Angus Reid Strategies,-
2007-03-03,234,8,-,36.0,2007-03-03,-,8,32.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2007-03-04,233,7,-,35.0,2007-03-04,-,11,29.0,HTML,-,15.0,-,-,Decima Research,-
2007-03-07,232,10,-,38.0,2007-03-07,-,8,28.0,HTML,-,15.0,-,-,Angus Reid Strategies,-
2007-03-13,231,9,-,36.0,2007-03-13,-,10,31.0,HTML,-,15.0,-,-,Strategic Counsel,-
2007-03-15,230,9,-,36.0,2007-03-15,-,8,34.0,HTML,-,12.0,-,-,Ipsos-Reid,-
2007-03-21,229,8,-,39.0,2007-03-21,-,9,31.0,HTML,-,13.0,-,-,Strategic Counsel,-
2007-03-22,228,9,-,40.0,2007-03-22,-,7,29.0,HTML,-,14.0,-,-,Ipsos-Reid,-
2007-03-25,227,9,-,41.0,2007-03-25,-,6,27.0,HTML,-,14.0,-,-,Léger Marketing,-
2007-03-25,226,8,-,35.0,2007-03-25,-,10,31.0,HTML,-,13.0,-,-,Decima Research,-
2007-03-28,225,10,-,39.0,2007-03-28,-,11,22.0,PDF,-,17.0,-,-,Angus Reid Strategies,-
2007-03-28,224,8,-,36.0,2007-03-28,-,9,31.0,HTML,-,15.0,-,-,Ipsos Reid,-
2007-04-03,223,8,-,36.0,2007-04-03,-,12,28.0,HTML,-,16.0,-,-,Environics,-
2007-04-05,222,8,-,39.0,2007-04-05,-,8,30.0,HTML,-,13.0,-,-,Decima Research,-
2007-04-05,221,10,-,36.0,2007-04-05,-,6,33.0,PDF,-,16.0,-,-,SES Research,-
2007-04-12,220,8,-,38.0,2007-04-12,-,8,32.0,HTML,-,14.0,-,-,Ipsos Reid,-
2007-04-15,219,7,-,34.0,2007-04-15,-,11,31.0,HTML,-,15.0,-,-,Decima Research,-
2007-04-19,218,9,-,39.0,2007-04-19,-,7,29.0,HTML,-,16.0,-,-,Ipsos Reid,-
2007-04-21,217,8,-,30.0,2007-04-21,-,11,29.0,HTML,-,18.0,-,-,Decima Research,-
2007-04-24,216,9,-,36.0,2007-04-24,-,12,30.0,PDF,-,13.0,-,-,Strategic Counsel,-
2007-04-26,215,8,-,38.0,2007-04-26,-,8,31.0,HTML,-,14.0,-,-,Ipsos Reid,-
2007-04-29,214,9,-,30.0,2007-04-29,-,13,31.0,HTML,-,15.0,-,-,Decima,-
2007-05-03,213,9,-,35.0,2007-05-03,-,7,34.0,HTML,-,14.0,-,-,Ipsos Reid,-
2007-05-03,212,9,-,32.0,2007-05-03,-,10,33.0,HTML,-,17.0,-,-,SES Research,-
2007-05-10,211,9,-,31.0,2007-05-10,-,9,32.0,HTML,-,17.0,-,-,Ipsos Reid,-
2007-05-17,210,9,-,36.0,2007-05-17,-,7,32.0,HTML,-,14.0,-,-,Ipsos Reid,-
2007-05-17,209,10,-,34.0,2007-05-17,-,9,31.0,HTML,-,16.0,-,-,Strategic Counsel,-
2007-05-20,208,8,-,33.0,2007-05-20,-,10,31.0,HTML,-,17.0,-,-,Decima,-
2007-05-23,207,9,-,35.0,2007-05-23,-,9,28.0,HTML,-,18.0,-,-,Angus Reid Strategies,-
2007-05-24,206,7,-,37.0,2007-05-24,-,9,31.0,HTML,-,16.0,-,-,Ipsos Reid,-
2007-05-27,205,8,-,37.0,2007-05-27,-,9,30.0,PDF,-,14.0,-,-,Léger Marketing,-
2007-05-31,204,10,-,34.0,2007-05-31,-,9,31.0,HTML,-,16.0,-,-,Ipsos Reid,-
2007-06-11,203,9,-,29.0,2007-06-11,-,9,32.0,HTML,-,18.0,-,-,Decima,-
2007-06-18,202,10,-,34.0,2007-06-18,-,8,27.0,PDF,-,19.0,-,-,Angus Reid Strategies,-
2007-06-30,201,7,-,37.0,2007-06-30,-,11,28.0,HTML,-,17.0,-,-,Environics,-
2007-07-15,200,10,-,31.0,2007-07-15,-,10,31.0,HTML,-,17.0,-,-,Strategic Counsel,-
2007-07-18,199,9,-,33.0,2007-07-18,-,8,28.0,PDF,-,19.0,-,-,Angus Reid Strategies,-
2007-07-27,198,8,-,34.0,2007-07-27,-,8,32.0,HTML,-,17.0,-,-,Ipsos-Reid,-
2007-08-12,197,10,-,33.0,2007-08-12,-,8,33.0,PDF,-,17.0,-,-,Strategic Counsel,-
2007-08-14,196,10,-,36.0,2007-08-14,-,8,33.0,PDF,-,13.0,-,-,SES Research,-
2007-08-23,195,9,-,33.0,2007-08-23,-,9,29.0,HTML,-,19.0,-,-,Angus Reid Strategies,-
2007-09-18,194,5,-,32.0,2007-09-18,-,14,29.0,HTML,-,17.0,-,-,Harris-Decima,-
2007-10-03,193,7,-,33.0,2007-10-03,-,10,31.0,HTML,-,16.0,-,-,Harris-Decima,-
2007-10-09,192,8,-,35.0,2007-10-09,-,10,28.0,HTML,-,17.0,-,-,Harris-Decima,-
2007-10-13,191,8,-,40.0,2007-10-13,-,7,28.0,HTML,-,16.0,-,-,Ipsos-Reid,-
2007-10-14,189,7,-,33.0,2007-10-14,-,11,29.0,HTML,-,19.0,-,-,Environics,-
2007-10-14,190,10,-,34.0,2007-10-14,-,12,29.0,HTML,-,15.0,-,-,Strategic Counsel,-
2007-10-17,188,9,-,34.0,2007-10-17,-,9,29.0,HTML,-,17.0,-,-,Angus Reid Strategies,-
2007-10-18,187,9,-,40.0,2007-10-18,-,8,27.0,HTML,-,14.0,-,-,Ipsos-Reid,-
2007-10-18,186,10,-,36.0,2007-10-18,-,9,25.0,HTML,-,19.0,-,-,Unimarketing,-
2007-10-25,185,9,-,39.0,2007-10-25,-,8,27.0,HTML,-,17.0,-,-,Ipsos-Reid,-
2007-10-29,184,9,-,33.0,2007-10-29,-,10,29.0,HTML,-,17.0,-,-,Harris-Decima,-
2007-11-01,183,12,-,39.0,2007-11-01,-,7,28.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2007-11-08,181,9,-,35.0,2007-11-08,-,6,34.0,PDF,-,17.0,-,-,SES Research,-
2007-11-08,182,8,-,42.0,2007-11-08,-,7,28.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2007-11-11,180,11,-,32.0,2007-11-11,-,13,32.0,PDF,-,12.0,-,-,Strategic Counsel,-
2007-11-12,179,8,-,33.0,2007-11-12,-,12,29.0,HTML,-,17.0,-,-,Harris-Decima,-
2007-11-13,178,11,-,34.0,2007-11-13,-,8,31.0,PDF,-,16.0,-,-,Strategic Counsel,-
2007-11-19,177,8,-,36.0,2007-11-19,-,9,28.0,PDF,-,17.0,-,-,Harris-Decima,-
2007-11-22,176,8,-,39.0,2007-11-22,-,8,29.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2007-12-02,175,8,-,36.0,2007-12-02,-,11,28.0,HTML,-,17.0,-,-,Harris-Decima,-
2007-12-06,174,10,-,35.0,2007-12-06,-,9,29.0,HTML,-,16.0,-,-,Ipsos-Reid,-
2007-12-09,173,10,-,32.0,2007-12-09,-,13,29.0,PDF,-,16.0,-,-,Strategic Counsel,-
2007-12-14,172,10,-,33.0,2007-12-14,-,10,28.0,PDF,-,17.0,-,-,Angus Reid Strategies,-
2007-12-17,171,11,-,30.0,2007-12-17,-,12,32.0,HTML,-,15.0,-,-,Harris-Decima,-
2007-12-20,170,8,-,35.0,2007-12-20,-,8,33.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2008-01-03,169,13,-,36.0,2008-01-03,-,7,22.0,HTML,-,17.0,-,-,Environics,-
2008-01-06,168,10,-,37.0,2008-01-06,-,9,30.0,PDF,-,13.0,-,-,Harris-Decima,-
2008-01-10,167,9,-,33.0,2008-01-10,-,9,35.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2008-01-13,166,11,-,36.0,2008-01-13,-,10,30.0,PDF,-,14.0,-,-,Strategic Counsel,-
2008-01-24,165,-,-,37.0,2008-01-24,-,10,29.0,HTML,-,14.0,-,-,Ipsos-Reid,-
2008-01-27,164,9,-,29.0,2008-01-27,-,12,32.0,HTML,-,16.0,-,-,Harris-Decima,-
2008-01-31,163,8,-,33.0,2008-01-31,-,8,33.0,HTML,-,18.0,-,-,UniMarketing,-
2008-02-04,162,10,-,31.0,2008-02-04,-,8,33.0,PDF,-,19.0,-,-,Nanos Research,-
2008-02-10,161,8,-,37.0,2008-02-10,-,7,32.0,PDF,-,16.0,-,-,Léger Marketing,-
2008-02-14,160,9,-,36.0,2008-02-14,-,10,29.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2008-02-17,159,10,-,39.0,2008-02-17,-,12,27.0,HTML,-,12.0,-,-,Strategic Counsel,-
2008-02-17,158,8,-,35.0,2008-02-17,-,9,33.0,PDF,-,13.0,-,-,Harris-Decima,-
2008-02-18,157,9,-,34.0,2008-02-18,-,8,31.0,HTML,-,17.0,-,-,Angus Reid Strategies,-
2008-02-20,156,10,-,34.0,2008-02-20,-,8,34.0,PDF,-,14.0,-,-,Nanos Research,-
2008-03-02,155,10,-,34.0,2008-03-02,-,9,28.0,HTML,-,18.0,-,-,Angus Reid Strategies,-
2008-03-02,154,8,-,31.0,2008-03-02,-,13,30.0,HTML,-,17.0,-,-,Harris-Decima,-
2008-03-06,153,9,-,35.0,2008-03-06,-,9,31.0,HTML,-,15.0,-,-,Ipsos-Reid,-
2008-03-16,152,10,-,38.0,2008-03-16,-,12,27.0,HTML,-,14.0,-,-,Strategic Counsel,-
2008-03-16,151,9,-,32.0,2008-03-16,-,8,32.0,HTML,-,17.0,-,-,Harris-Decima,-
2008-03-20,150,10,-,35.0,2008-03-20,-,8,33.0,HTML,-,13.0,-,-,Ipsos-Reid,-
2008-03-28,149,9,-,36.0,2008-03-28,-,9,26.0,HTML,-,18.0,-,-,Angus Reid Strategies,-
2008-03-30,148,9,-,32.0,2008-03-30,-,12,30.0,HTML,-,13.0,-,-,Harris-Decima,-
2008-04-06,147,9,-,31.0,2008-04-06,-,12,32.0,HTML,-,15.0,-,-,Harris-Decima,-
2008-04-07,146,13,-,35.0,2008-04-07,-,7,28.0,HTML,-,17.0,-,-,Environics,-
2008-04-09,145,8,-,36.0,2008-04-09,-,6,36.0,PDF,-,14.0,-,-,Nanos Research,-
2008-04-09,144,9,-,36.0,2008-04-09,-,9,30.0,HTML,-,15.0,-,-,Segma,-
2008-04-10,143,-,-,35.0,2008-04-10,-,10,30.0,HTML,-,16.0,-,-,Ipsos-Reid,-
2008-04-13,142,8,-,36.0,2008-04-13,-,10,30.0,HTML,-,15.0,-,-,Strategic Counsel,-
2008-04-13,141,9,-,30.0,2008-04-13,-,11,33.0,HTML,-,16.0,-,-,Harris-Decima,-
2008-04-21,140,-,-,32.0,2008-04-21,-,-,33.0,HTML,-,14.0,-,-,Harris-Decima,-
2008-04-23,139,8,-,33.0,2008-04-23,-,8,30.0,PDF,-,20.0,-,-,Angus Reid Strategies,-
2008-05-01,138,-,-,34.0,2008-05-01,-,11,29.0,HTML,-,17.0,-,-,Ipsos-Reid,-
2008-05-08,137,-,-,35.0,2008-05-08,-,9,32.0,HTML,-,14.0,-,-,Ipsos-Reid,-
2008-05-11,136,9,-,34.0,2008-05-11,-,10,31.0,HTML,-,16.0,-,-,Strategic Counsel,-
2008-05-11,135,11,-,33.0,2008-05-11,-,8,34.0,PDF,-,15.0,-,-,Nanos Research,-
2008-05-19,134,11,-,34.0,2008-05-19,-,8,27.0,HTML,-,18.0,-,-,Angus Reid Strategies,-
2008-05-29,133,9,-,36.0,2008-05-29,-,11,29.0,HTML,-,14.0,-,-,Ipsos-Reid,-
2008-06-08,132,6,-,32.0,2008-06-08,-,12,31.0,HTML,-,15.0,-,-,Harris-Decima,-
2008-06-09,131,10,-,32.0,2008-06-09,-,10,30.0,HTML,-,18.0,-,-,Strategic Counsel,-
2008-06-24,130,9,-,33.0,2008-06-24,-,7,30.0,PDF,-,19.0,-,-,Angus Reid Strategies,-
2008-06-29,129,10,-,30.0,2008-06-29,-,12,31.0,PDF,-,16.0,-,-,Harris-Decima,-
2008-07-05,128,10,-,35.0,2008-07-05,-,8,30.0,HTML,-,17.0,-,-,Environics,-
2008-07-10,127,11,-,33.0,2008-07-10,-,10,32.0,HTML,-,13.0,-,-,Ipsos Reid,-
2008-07-30,126,9,-,35.0,2008-07-30,-,8,30.0,PDF,-,17.0,-,-,Angus Reid Strategies,-
2008-07-31,125,9,-,34.0,2008-07-31,-,11,30.0,HTML,-,14.0,-,-,Ipsos Reid,-
2008-08-10,124,6,-,32.0,2008-08-10,-,13,33.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-08-14,123,9,-,36.0,2008-08-14,-,10,30.0,HTML,-,14.0,-,-,Ipsos Reid,-
2008-08-24,122,7,-,33.0,2008-08-24,-,9,34.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-08-27,121,8,-,33.0,2008-08-27,-,7,35.0,PDF,-,17.0,-,-,Nanos Research,-
2008-08-28,120,9,-,33.0,2008-08-28,-,10,31.0,HTML,-,16.0,-,-,Ipsos Reid,-
2008-08-28,119,9,-,36.0,2008-08-28,-,8,28.0,PDF,-,18.0,-,-,Angus Reid Strategies,-
2008-08-28,118,-,-,34.0,2008-08-28,-,10,31.0,HTML,-,14.0,-,-,Ipsos Reid,-
2008-08-31,117,8,-,37.0,2008-08-31,-,9,29.0,PDF,-,17.0,-,-,Strategic Counsel,-
2008-09-02,116,8,-,38.0,2008-09-02,-,7,28.0,HTML,-,19.0,-,-,Environics,-
2008-09-03,115,6,-,37.0,2008-09-03,-,10,24.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-04,114,10,-,38.0,2008-09-04,-,11,26.0,HTML,-,15.0,-,-,EKOS Research Associates,-
2008-09-06,113,8,-,43.0,2008-09-06,-,7,25.0,PDF,-,15.0,-,-,Segma,-
2008-09-08,112,9,-,36.0,2008-09-08,-,9,28.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-09-09,111,9,-,38.0,2008-09-09,-,7,24.0,PDF,-,21.0,-,-,Angus Reid Strategies,-
2008-09-09,110,8,-,37.0,2008-09-09,-,10,26.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-10,109,9,-,37.0,2008-09-10,-,9,32.0,HTML,-,13.0,-,-,Nanos Research,-
2008-09-11,108,8,-,41.0,2008-09-11,-,9,26.0,HTML,-,14.0,-,-,Harris-Decima,-
2008-09-11,107,9,-,38.0,2008-09-11,-,9,31.0,HTML,-,14.0,-,-,Nanos Research,-
2008-09-11,106,8,-,38.0,2008-09-11,-,11,29.0,HTML,-,13.0,-,-,Ipsos Reid,-
2008-09-11,105,8,-,36.0,2008-09-11,-,11,26.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-12,104,9,-,38.0,2008-09-12,-,9,30.0,PDF,-,15.0,-,-,Nanos Research,-
2008-09-12,103,9,-,39.0,2008-09-12,-,10,23.0,PDF,-,18.0,-,-,Angus Reid Strategies,-
2008-09-13,100,8,-,38.0,2008-09-13,-,11,29.0,HTML,-,13.0,-,-,Ipsos Reid,-
2008-09-13,101,8,-,40.0,2008-09-13,-,9,26.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-09-13,102,6,-,38.0,2008-09-13,-,9,30.0,PDF,-,17.0,-,-,Nanos Research,-
2008-09-14,99,9,-,35.0,2008-09-14,-,11,25.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-14,98,8,-,38.0,2008-09-14,-,9,27.0,PDF,-,16.0,-,-,Harris-Decima,-
2008-09-14,97,6,-,37.0,2008-09-14,-,9,31.0,PDF,-,18.0,-,-,Nanos Research,-
2008-09-15,96,7,-,42.0,2008-09-15,-,10,23.0,PDF,-,16.0,-,-,Segma,-
2008-09-15,95,9,-,38.0,2008-09-15,-,11,23.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-15,94,8,-,38.0,2008-09-15,-,10,27.0,PDF,-,16.0,-,-,Harris-Decima,-
2008-09-15,93,6,-,38.0,2008-09-15,-,8,31.0,PDF,-,17.0,-,-,Nanos Research,-
2008-09-16,92,8,-,38.0,2008-09-16,-,11,24.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-16,91,8,-,38.0,2008-09-16,-,10,28.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-09-16,90,7,-,38.0,2008-09-16,-,7,31.0,PDF,-,17.0,-,-,Nanos Research,-
2008-09-17,87,7,-,39.0,2008-09-17,-,6,30.0,PDF,-,18.0,-,-,Nanos Research,-
2008-09-17,89,8,-,38.0,2008-09-17,-,12,24.0,HTML,-,18.0,-,-,EKOS Research Associates,-
2008-09-17,88,8,-,36.0,2008-09-17,-,11,27.0,PDF,-,16.0,-,-,Harris-Decima,-
2008-09-18,83,8,-,40.0,2008-09-18,-,10,27.0,HTML,-,15.0,-,-,Ipsos Reid,-
2008-09-18,84,8,-,36.0,2008-09-18,-,13,25.0,HTML,-,18.0,-,-,EKOS Research Associates,-
2008-09-18,82,9,-,38.0,2008-09-18,-,10,24.0,PDF,-,19.0,-,-,Angus Reid Strategies,-
2008-09-18,86,8,-,38.0,2008-09-18,-,12,25.0,PDF,-,15.0,-,-,Harris-Decima,-
2008-09-18,85,7,-,39.0,2008-09-18,-,7,28.0,PDF,-,18.0,-,-,Nanos Research,-
2008-09-19,81,8,-,38.0,2008-09-19,-,12,23.0,PDF,-,17.0,-,-,Harris-Decima,-
2008-09-19,80,7,-,38.0,2008-09-19,-,7,29.0,PDF,-,18.0,-,-,Nanos Research,-
2008-09-20,79,8,-,39.0,2008-09-20,-,11,23.0,PDF,-,17.0,-,-,Harris-Decima,-
2008-09-20,78,7,-,36.0,2008-09-20,-,7,31.0,PDF,-,20.0,-,-,Nanos Research,-
2008-09-21,77,8,-,38.0,2008-09-21,-,12,23.0,PDF,-,17.0,-,-,Harris-Decima,-
2008-09-21,76,7,-,35.0,2008-09-21,-,6,30.0,PDF,-,22.0,-,-,Nanos Research,-
2008-09-21,75,8,-,37.0,2008-09-21,-,12,24.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-22,73,8,-,38.0,2008-09-22,-,6,27.0,PDF,-,21.0,-,-,Nanos Research,-
2008-09-22,74,8,-,37.0,2008-09-22,-,11,24.0,HTML,-,17.0,-,-,Harris-Decima,-
2008-09-22,72,8,-,36.0,2008-09-22,-,12,25.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-23,71,9,-,37.0,2008-09-23,-,7,26.0,PDF,-,21.0,-,-,Nanos Research,-
2008-09-23,70,9,-,37.0,2008-09-23,-,12,24.0,PDF,-,16.0,-,-,Harris-Decima,-
2008-09-23,69,9,-,37.0,2008-09-23,-,11,24.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-24,68,9,-,36.0,2008-09-24,-,12,23.0,HTML,-,17.0,-,-,Harris-Decima,-
2008-09-24,67,10,-,36.0,2008-09-24,-,11,25.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-24,66,9,-,40.0,2008-09-24,-,8,25.0,PDF,-,19.0,-,-,Nanos Research,-
2008-09-25,65,10,-,35.0,2008-09-25,-,10,25.0,HTML,-,20.0,-,-,EKOS Research Associates,-
2008-09-25,64,9,-,37.0,2008-09-25,-,10,24.0,PDF,-,18.0,-,-,Harris-Decima,-
2008-09-25,63,9,-,39.0,2008-09-25,-,8,24.0,PDF,-,19.0,-,-,Nanos Research,-
2008-09-25,62,9,-,39.0,2008-09-25,-,11,23.0,HTML,-,18.0,-,-,Ipsos Reid,-
2008-09-25,61,10,-,40.0,2008-09-25,-,7,21.0,PDF,-,21.0,-,-,Angus Reid Strategies,-
2008-09-26,60,9,-,38.0,2008-09-26,-,9,23.0,PDF,-,19.0,-,-,Harris-Decima,-
2008-09-26,59,8,-,39.0,2008-09-26,-,9,25.0,PDF,-,19.0,-,-,Nanos Research,-
2008-09-27,58,9,-,36.0,2008-09-27,-,9,25.0,PDF,-,19.0,-,-,Harris-Decima,-
2008-09-27,57,9,-,36.0,2008-09-27,-,9,27.0,PDF,-,19.0,-,-,Nanos Research,-
2008-09-28,55,9,-,36.0,2008-09-28,-,9,26.0,PDF,-,20.0,-,-,Nanos Research,-
2008-09-28,54,8,-,36.0,2008-09-28,-,9,26.0,PDF,-,19.0,-,-,Harris-Decima,-
2008-09-28,56,10,-,34.0,2008-09-28,-,10,26.0,HTML,-,20.0,-,-,EKOS Research Associates,-
2008-09-29,53,9,-,34.0,2008-09-29,-,10,27.0,HTML,-,19.0,-,-,EKOS Research Associates,-
2008-09-29,52,10,-,37.0,2008-09-29,-,8,26.0,PDF,-,20.0,-,-,Nanos Research,-
