,Bloc QC,Campaign,Conservative,Date,Error,Green,Liberal,Link,Margin,NDP,Other,Sample,Source,Type
198,8,,34,2007-07-27,,8,32,HTML,,17,,,Ipsos-Reid,
197,10,,33,2007-08-12,,8,33,PDF,,17,,,Strategic Counsel,
196,10,,36,2007-08-14,,8,33,PDF,,13,,,SES Research,
195,9,,33,2007-08-23,,9,29,HTML,,19,,,Angus Reid Strategies,
194,5,,32,2007-09-18,,14,29,HTML,,17,,,Harris-Decima,
193,7,,33,2007-10-03,,10,31,HTML,,16,,,Harris-Decima,
192,8,,35,2007-10-09,,10,28,HTML,,17,,,Harris-Decima,
191,8,,40,2007-10-13,,7,28,HTML,,16,,,Ipsos-Reid,
190,10,,34,2007-10-14,,12,29,HTML,,15,,,Strategic Counsel,
189,7,,33,2007-10-14,,11,29,HTML,,19,,,Environics,
188,9,,34,2007-10-17,,9,29,HTML,,17,,,Angus Reid Strategies,
187,9,,40,2007-10-18,,8,27,HTML,,14,,,Ipsos-Reid,
186,10,,36,2007-10-18,,9,25,HTML,,19,,,Unimarketing,
185,9,,39,2007-10-25,,8,27,HTML,,17,,,Ipsos-Reid,
184,9,,33,2007-10-29,,10,29,HTML,,17,,,Harris-Decima,
183,12,,39,2007-11-01,,7,28,HTML,,13,,,Ipsos-Reid,
182,8,,42,2007-11-08,,7,28,HTML,,15,,,Ipsos-Reid,
181,9,,35,2007-11-08,,6,34,PDF,,17,,,SES Research,
180,11,,32,2007-11-11,,13,32,PDF,,12,,,Strategic Counsel,
179,8,,33,2007-11-12,,12,29,HTML,,17,,,Harris-Decima,
178,11,,34,2007-11-13,,8,31,PDF,,16,,,Strategic Counsel,
177,8,,36,2007-11-19,,9,28,PDF,,17,,,Harris-Decima,
176,8,,39,2007-11-22,,8,29,HTML,,15,,,Ipsos-Reid,
175,8,,36,2007-12-02,,11,28,HTML,,17,,,Harris-Decima,
174,10,,35,2007-12-06,,9,29,HTML,,16,,,Ipsos-Reid,
173,10,,32,2007-12-09,,13,29,PDF,,16,,,Strategic Counsel,
172,10,,33,2007-12-14,,10,28,PDF,,17,,,Angus Reid Strategies,
171,11,,30,2007-12-17,,12,32,HTML,,15,,,Harris-Decima,
170,8,,35,2007-12-20,,8,33,HTML,,15,,,Ipsos-Reid,
169,13,,36,2008-01-03,,7,22,HTML,,17,,,Environics,
168,10,,37,2008-01-06,,9,30,PDF,,13,,,Harris-Decima,
167,9,,33,2008-01-10,,9,35,HTML,,13,,,Ipsos-Reid,
166,11,,36,2008-01-13,,10,30,PDF,,14,,,Strategic Counsel,
165,-,,37,2008-01-24,,10,29,HTML,,14,,,Ipsos-Reid,
164,9,,29,2008-01-27,,12,32,HTML,,16,,,Harris-Decima,
163,8,,33,2008-01-31,,8,33,HTML,,18,,,UniMarketing,
162,10,,31,2008-02-04,,8,33,PDF,,19,,,Nanos Research,
161,8,,37,2008-02-10,,7,32,PDF,,16,,,Léger Marketing,
160,9,,36,2008-02-14,,10,29,HTML,,13,,,Ipsos-Reid,
159,10,,39,2008-02-17,,12,27,HTML,,12,,,Strategic Counsel,
158,8,,35,2008-02-17,,9,33,PDF,,13,,,Harris-Decima,
157,9,,34,2008-02-18,,8,31,HTML,,17,,,Angus Reid Strategies,
156,10,,34,2008-02-20,,8,34,PDF,,14,,,Nanos Research,
155,10,,34,2008-03-02,,9,28,HTML,,18,,,Angus Reid Strategies,
154,8,,31,2008-03-02,,13,30,HTML,,17,,,Harris-Decima,
153,9,,35,2008-03-06,,9,31,HTML,,15,,,Ipsos-Reid,
152,10,,38,2008-03-16,,12,27,HTML,,14,,,Strategic Counsel,
151,9,,32,2008-03-16,,8,32,HTML,,17,,,Harris-Decima,
150,10,,35,2008-03-20,,8,33,HTML,,13,,,Ipsos-Reid,
149,9,,36,2008-03-28,,9,26,HTML,,18,,,Angus Reid Strategies,
148,9,,32,2008-03-30,,12,30,HTML,,13,,,Harris-Decima,
147,9,,31,2008-04-06,,12,32,HTML,,15,,,Harris-Decima,
146,13,,35,2008-04-07,,7,28,HTML,,17,,,Environics,
144,9,,36,2008-04-09,,9,30,HTML,,15,,,Segma,
145,8,,36,2008-04-09,,6,36,PDF,,14,,,Nanos Research,
143,-,,35,2008-04-10,,10,30,HTML,,16,,,Ipsos-Reid,
142,8,,36,2008-04-13,,10,30,HTML,,15,,,Strategic Counsel,
141,9,,30,2008-04-13,,11,33,HTML,,16,,,Harris-Decima,
140,-,,32,2008-04-21,,-,33,HTML,,14,,,Harris-Decima,
139,8,,33,2008-04-23,,8,30,PDF,,20,,,Angus Reid Strategies,
138,-,,34,2008-05-01,,11,29,HTML,,17,,,Ipsos-Reid,
137,-,,35,2008-05-08,,9,32,HTML,,14,,,Ipsos-Reid,
136,9,,34,2008-05-11,,10,31,HTML,,16,,,Strategic Counsel,
135,11,,33,2008-05-11,,8,34,PDF,,15,,,Nanos Research,
134,11,,34,2008-05-19,,8,27,HTML,,18,,,Angus Reid Strategies,
133,9,,36,2008-05-29,,11,29,HTML,,14,,,Ipsos-Reid,
132,6,,32,2008-06-08,,12,31,HTML,,15,,,Harris-Decima,
131,10,,32,2008-06-09,,10,30,HTML,,18,,,Strategic Counsel,
130,9,,33,2008-06-24,,7,30,PDF,,19,,,Angus Reid Strategies,
129,10,,30,2008-06-29,,12,31,PDF,,16,,,Harris-Decima,
128,10,,35,2008-07-05,,8,30,HTML,,17,,,Environics,
127,11,,33,2008-07-10,,10,32,HTML,,13,,,Ipsos Reid,
126,9,,35,2008-07-30,,8,30,PDF,,17,,,Angus Reid Strategies,
125,9,,34,2008-07-31,,11,30,HTML,,14,,,Ipsos Reid,
124,6,,32,2008-08-10,,13,33,PDF,,15,,,Harris-Decima,
123,9,,36,2008-08-14,,10,30,HTML,,14,,,Ipsos Reid,
122,7,,33,2008-08-24,,9,34,PDF,,15,,,Harris-Decima,
121,8,,33,2008-08-27,,7,35,PDF,,17,,,Nanos Research,
120,9,,33,2008-08-28,,10,31,HTML,,16,,,Ipsos Reid,
119,9,,36,2008-08-28,,8,28,PDF,,18,,,Angus Reid Strategies,
118,-,,34,2008-08-28,,10,31,HTML,,14,,,Ipsos Reid,
117,8,,37,2008-08-31,,9,29,PDF,,17,,,Strategic Counsel,
116,8,,38,2008-09-02,,7,28,HTML,,19,,,Environics,
115,6,,37,2008-09-03,,10,24,HTML,,19,,,EKOS Research Associates,
114,10,,38,2008-09-04,,11,26,HTML,,15,,,EKOS Research Associates,
113,8,,43,2008-09-06,,7,25,PDF,,15,,,Segma,
112,9,,36,2008-09-08,,9,28,PDF,,15,,,Harris-Decima,
110,8,,37,2008-09-09,,10,26,HTML,,19,,,EKOS Research Associates,
111,9,,38,2008-09-09,,7,24,PDF,,21,,,Angus Reid Strategies,
109,9,,37,2008-09-10,,9,32,HTML,,13,,,Nanos Research,
107,9,,38,2008-09-11,,9,31,HTML,,14,,,Nanos Research,
106,8,,38,2008-09-11,,11,29,HTML,,13,,,Ipsos Reid,
105,8,,36,2008-09-11,,11,26,HTML,,19,,,EKOS Research Associates,
108,8,,41,2008-09-11,,9,26,HTML,,14,,,Harris-Decima,
104,9,,38,2008-09-12,,9,30,PDF,,15,,,Nanos Research,
103,9,,39,2008-09-12,,10,23,PDF,,18,,,Angus Reid Strategies,
102,6,,38,2008-09-13,,9,30,PDF,,17,,,Nanos Research,
101,8,,40,2008-09-13,,9,26,PDF,,15,,,Harris-Decima,
100,8,,38,2008-09-13,,11,29,HTML,,13,,,Ipsos Reid,
99,9,,35,2008-09-14,,11,25,HTML,,19,,,EKOS Research Associates,
98,8,,38,2008-09-14,,9,27,PDF,,16,,,Harris-Decima,
97,6,,37,2008-09-14,,9,31,PDF,,18,,,Nanos Research,
96,7,,42,2008-09-15,,10,23,PDF,,16,,,Segma,
95,9,,38,2008-09-15,,11,23,HTML,,19,,,EKOS Research Associates,
94,8,,38,2008-09-15,,10,27,PDF,,16,,,Harris-Decima,
93,6,,38,2008-09-15,,8,31,PDF,,17,,,Nanos Research,
90,7,,38,2008-09-16,,7,31,PDF,,17,,,Nanos Research,
92,8,,38,2008-09-16,,11,24,HTML,,19,,,EKOS Research Associates,
91,8,,38,2008-09-16,,10,28,PDF,,15,,,Harris-Decima,
88,8,,36,2008-09-17,,11,27,PDF,,16,,,Harris-Decima,
87,7,,39,2008-09-17,,6,30,PDF,,18,,,Nanos Research,
89,8,,38,2008-09-17,,12,24,HTML,,18,,,EKOS Research Associates,
86,8,,38,2008-09-18,,12,25,PDF,,15,,,Harris-Decima,
85,7,,39,2008-09-18,,7,28,PDF,,18,,,Nanos Research,
84,8,,36,2008-09-18,,13,25,HTML,,18,,,EKOS Research Associates,
83,8,,40,2008-09-18,,10,27,HTML,,15,,,Ipsos Reid,
82,9,,38,2008-09-18,,10,24,PDF,,19,,,Angus Reid Strategies,
81,8,,38,2008-09-19,,12,23,PDF,,17,,,Harris-Decima,
80,7,,38,2008-09-19,,7,29,PDF,,18,,,Nanos Research,
79,8,,39,2008-09-20,,11,23,PDF,,17,,,Harris-Decima,
78,7,,36,2008-09-20,,7,31,PDF,,20,,,Nanos Research,
77,8,,38,2008-09-21,,12,23,PDF,,17,,,Harris-Decima,
76,7,,35,2008-09-21,,6,30,PDF,,22,,,Nanos Research,
75,8,,37,2008-09-21,,12,24,HTML,,19,,,EKOS Research Associates,
72,8,,36,2008-09-22,,12,25,HTML,,19,,,EKOS Research Associates,
73,8,,38,2008-09-22,,6,27,PDF,,21,,,Nanos Research,
74,8,,37,2008-09-22,,11,24,HTML,,17,,,Harris-Decima,
71,9,,37,2008-09-23,,7,26,PDF,,21,,,Nanos Research,
70,9,,37,2008-09-23,,12,24,PDF,,16,,,Harris-Decima,
69,9,,37,2008-09-23,,11,24,HTML,,19,,,EKOS Research Associates,
68,9,,36,2008-09-24,,12,23,HTML,,17,,,Harris-Decima,
67,10,,36,2008-09-24,,11,25,HTML,,19,,,EKOS Research Associates,
66,9,,40,2008-09-24,,8,25,PDF,,19,,,Nanos Research,
61,10,,40,2008-09-25,,7,21,PDF,,21,,,Angus Reid Strategies,
62,9,,39,2008-09-25,,11,23,HTML,,18,,,Ipsos Reid,
64,9,,37,2008-09-25,,10,24,PDF,,18,,,Harris-Decima,
65,10,,35,2008-09-25,,10,25,HTML,,20,,,EKOS Research Associates,
63,9,,39,2008-09-25,,8,24,PDF,,19,,,Nanos Research,
60,9,,38,2008-09-26,,9,23,PDF,,19,,,Harris-Decima,
59,8,,39,2008-09-26,,9,25,PDF,,19,,,Nanos Research,
58,9,,36,2008-09-27,,9,25,PDF,,19,,,Harris-Decima,
57,9,,36,2008-09-27,,9,27,PDF,,19,,,Nanos Research,
56,10,,34,2008-09-28,,10,26,HTML,,20,,,EKOS Research Associates,
55,9,,36,2008-09-28,,9,26,PDF,,20,,,Nanos Research,
54,8,,36,2008-09-28,,9,26,PDF,,19,,,Harris-Decima,
50,10,,39,2008-09-29,,9,24,HTML,,19,,,Strategic Counsel,
53,9,,34,2008-09-29,,10,27,HTML,,19,,,EKOS Research Associates,
52,10,,37,2008-09-29,,8,26,PDF,,20,,,Nanos Research,
51,9,,36,2008-09-29,,11,26,PDF,,18,,,Harris-Decima,
49,10,,34,2008-09-30,,11,25,HTML,,20,,,EKOS Research Associates,
48,10,,36,2008-09-30,,9,26,PDF,,20,,,Nanos Research,
47,10,,36,2008-09-30,,11,24,PDF,,17,,,Harris-Decima,
46,10,,34,2008-10-01,,11,25,HTML,,19,,,EKOS Research Associates,
45,10,,37,2008-10-01,,8,26,PDF,,19,,,Nanos Research,
44,9,,36,2008-10-01,,12,23,PDF,,18,,,Harris-Decima,
40,11,,37,2008-10-02,,10,23,HTML,,19,,,Ipsos Reid,
42,10,,35,2008-10-02,,9,30,PDF,,18,,,Nanos Research,
43,10,,36,2008-10-02,,11,24,HTML,,19,,,EKOS Research Associates,
41,9,,37,2008-10-02,,12,22,PDF,,18,,,Harris-Decima,
39,10,,36,2008-10-03,,10,25,HTML,,19,,,EKOS Research Associates,
38,10,,35,2008-10-03,,8,28,PDF,,19,,,Nanos Research,
37,9,,35,2008-10-03,,13,22,PDF,,20,,,Harris-Decima,
36,11,,40,2008-10-03,,6,25,PDF,,19,,,Angus Reid Strategies,
33,8,,34,2008-10-04,,13,24,PDF,,20,,,Harris-Decima,
35,10,,36,2008-10-04,,10,25,HTML,,18,,,EKOS Research Associates,
34,10,,34,2008-10-04,,7,30,PDF,,19,,,Nanos Research,
32,10,,35,2008-10-05,,10,25,HTML,,19,,,EKOS Research Associates,
31,11,,34,2008-10-05,,6,29,PDF,,20,,,Nanos Research,
30,8,,32,2008-10-05,,12,25,PDF,,21,,,Harris-Decima,
29,10,,33,2008-10-06,,12,26,HTML,,19,,,EKOS Research Associates,
28,11,,34,2008-10-06,,6,31,PDF,,18,,,Nanos Research,
27,8,,31,2008-10-06,,13,26,PDF,,21,,,Harris-Decima,
26,10,,34,2008-10-07,,11,25,HTML,,20,,,EKOS Research Associates,
25,8,,31,2008-10-07,,12,27,PDF,,20,,,Harris-Decima,
24,9,,35,2008-10-07,,10,27,PDF,,18,,,Angus Reid Strategies,
23,11,,33,2008-10-07,,7,29,PDF,,20,,,Nanos Research,
22,10,,35,2008-10-08,,11,24,HTML,,20,,,EKOS Research Associates,
21,8,,32,2008-10-08,,12,27,PDF,,19,,,Harris-Decima,
20,10,,33,2008-10-08,,7,29,PDF,,20,,,Nanos Research,
15,9,,34,2008-10-09,,8,29,HTML,,18,,,Ipsos Reid,
16,10,,35,2008-10-09,,10,23,PDF,,21,,,Segma,
18,9,,34,2008-10-09,,12,26,PDF,,18,,,Harris-Decima,
19,10,,36,2008-10-09,,11,24,HTML,,19,,,EKOS Research Associates,
17,10,,33,2008-10-09,,8,27,PDF,,22,,,Nanos Research,
14,10,,34,2008-10-10,,11,26,HTML,,19,,,EKOS Research Associates,
13,9,,38,2008-10-10,,6,28,PDF,,19,,,Angus Reid Strategies,
12,10,,32,2008-10-10,,8,28,PDF,,22,,,Nanos Research,
11,9,,35,2008-10-10,,11,25,PDF,,18,,,Harris-Decima,
10,9,,35,2008-10-10,,9,28,HTML,,19,,,Strategic Counsel,
6,10,,33,2008-10-11,,11,28,HTML,,18,,,Strategic Counsel,
8,10,,35,2008-10-11,,9,26,PDF,,18,,,Harris-Decima,
9,10,,34,2008-10-11,,11,27,HTML,,18,,,EKOS Research Associates,
7,10,,33,2008-10-11,,9,27,PDF,,22,,,Nanos Research,
5,11,,34,2008-10-12,,9,25,PDF,,19,,,Harris-Decima,
4,10,,34,2008-10-12,,11,26,HTML,,18,,,EKOS Research Associates,
3,9.5,,34.2,2008-10-12,,8.2,26.7,PDF,,21.4,,,Nanos Research,
2,9,,37,2008-10-13,,7,27,PDF,,20,,,Angus Reid Strategies,
1,9.8,,34.8,2008-10-13,,9.6,26.4,HTML,,19.4,,,EKOS Research Associates,
0,9.5,,38,2008-10-13,,7.1,22.6,HTML,,22.6,,,Asking Canadians[1],
320,10,FALSE,37.6,2008-10-14,,6.8,26.2,HTML,,18.2,,,Election 2008,
319,9,FALSE,32,2008-11-15,,10,30,PDF,,20,,,Nanos Research,
317,9,FALSE,46,2008-12-03,,8,23,HTML,,13,,,Ipsos Reid,
318,9.2,FALSE,44,2008-12-03,,8.1,24.1,PDF,,14.5,,,EKOS Research Associates,
316,10,FALSE,45,2008-12-03,,8,24,PDF,,14,,,Strategic Counsel,
313,8,FALSE,47,2008-12-04,,8,24,HTML,,14,,,Praxicus Public Strategies,
315,10.2,FALSE,42.2,2008-12-04,,9,23.6,PDF,,15,,,EKOS Research Associates,
314,8,FALSE,51,2008-12-04,,6,20,PDF,,10,,,COMPAS,
312,10,FALSE,42,2008-12-06,,7,22,PDF,,18,,,Angus Reid Strategies,
311,10,FALSE,45,2008-12-11,,7,26,HTML,,12,,,Ipsos Reid,
310,9,FALSE,37,2008-12-12,,8,31,PDF,,15,,,Angus Reid Strategies,
309,6,FALSE,43,2008-12-23,,8,30,PDF,,13,,,COMPAS,
308,7,FALSE,33,2009-01-07,,7,34,PDF,,19,,,Nanos Research,
307,9,FALSE,39,2009-01-08,,9,28,HTML,,15,,,Ipsos Reid,
306,8,FALSE,36,2009-01-14,,8,29,PDF,,18,,,Strategic Counsel,
305,9,FALSE,39,2009-01-15,,5,30,PDF,,17,,,Angus Reid Strategies,
304,7.9,FALSE,36.2,2009-01-17,,9.1,32.6,PDF,,14.3,,,EKOS Research Associates,
303,8,FALSE,38,2009-01-27,,6,29,PDF,,18,,,Angus Reid Strategies,
302,10,FALSE,34,2009-02-03,,7,33,PDF,,16,,,Nanos Research,
301,10,FALSE,37,2009-02-07,,7,31,HTML,,14,,,Ipsos Reid,
300,10,FALSE,33,2009-02-08,,10,31,PDF,,15,,,Harris-Decima,
299,5,FALSE,32,2009-02-08,,13,33,PDF,,17,,,Strategic Counsel,
298,10,FALSE,33,2009-02-15,,7,33,PDF,,15,,,Harris-Decima,
297,10,FALSE,37,2009-03-05,,8,33,HTML,,12,,,Ipsos Reid,
295,9,FALSE,32,2009-03-08,,10,33,PDF,,14,,,Harris-Decima,
296,9,FALSE,35,2009-03-08,,10,31,PDF,,16,,,Strategic Counsel,
294,10,FALSE,35,2009-03-11,,7,31,PDF,,16,,,Angus Reid Strategies,
293,10,FALSE,33,2009-03-18,,8,36,PDF,,13,,,Nanos Research,
292,9,FALSE,34,2009-03-23,,6,35,PDF,,14,,,Leger Marketing,
291,10,FALSE,32,2009-04-05,,9,34,PDF,,15,,,Strategic Counsel,
290,9.4,FALSE,30.2,2009-04-13,,8.1,36.7,PDF,,15.5,,,EKOS Research Associates,
289,9,FALSE,29,2009-04-19,,11,32,PDF,,16,,,Harris-Decima,
288,10,FALSE,33,2009-04-22,,6,33,PDF,,15,,,Angus Reid Strategies,
286,9,FALSE,33,2009-04-30,,7,36,PDF,,15,,,Nanos Research,
287,9,FALSE,33,2009-04-30,,8,36,HTML,,13,,,Ipsos Reid,
285,9,FALSE,29,2009-05-03,,11,34,PDF,,15,,,Harris-Decima,
284,9,FALSE,30,2009-05-10,,11,35,PDF,,16,,,Strategic Counsel,
283,9,FALSE,35,2009-05-24,,8,33,HTML,,14,,,Ipsos Reid,
282,8.7,FALSE,32.3,2009-05-28,,10.4,33.5,PDF,,15.1,,,EKOS Research Associates,
281,9,FALSE,31,2009-05-29,,7,33,PDF,,17,,,Angus Reid Strategies,
280,8,FALSE,31.8,2009-06-01,,7.4,37.2,PDF,,15.7,,,Nanos Research,
279,9,FALSE,33,2009-06-04,,9,36,HTML,,12,,,Ipsos Reid,
278,9,FALSE,30,2009-06-07,,11,34,HTML,,16,,,Strategic Counsel,
277,9,FALSE,31,2009-06-08,,8,35,PDF,,15,,,Harris-Decima,
276,9.2,FALSE,30.3,2009-06-09,,10.4,35,PDF,,15.1,,,EKOS Research Associates,
275,8.4,FALSE,32.4,2009-06-16,,9,33.7,PDF,,16.3,,,EKOS Research Associates,
274,11,FALSE,32,2009-06-18,,7,31,PDF,,18,,,Angus Reid Strategies,
273,9.8,FALSE,32.2,2009-06-21,,4.8,36.3,PDF,,16.8,,,Nanos Research,
272,9,FALSE,34.8,2009-06-23,,9.3,32.6,PDF,,14.3,,,EKOS Research Associates,
271,9,FALSE,31,2009-06-29,,11.5,32.2,PDF,,16.2,,,EKOS Research Associates,
270,10,FALSE,36,2009-07-03,,7,30,PDF,,16,,,Angus Reid Strategies,
269,9.3,FALSE,31.8,2009-07-07,,10.7,32.2,PDF,,16,,,EKOS Research Associates,
268,8.7,FALSE,34.1,2009-07-14,,9.6,32.4,PDF,,15.2,,,EKOS Research Associates,
267,11,FALSE,33,2009-07-17,,6,30,PDF,,18,,,Angus Reid Strategies,
266,8.4,FALSE,32.8,2009-07-21,,11.5,32.5,PDF,,14.8,,,EKOS Research Associates,
265,8.6,FALSE,32.5,2009-07-28,,10.4,34.1,PDF,,14.5,,,EKOS Research Associates,
264,10,FALSE,33,2009-07-28,,7,34,PDF,,16,,,Angus Reid Strategies,
263,9.2,FALSE,31.3,2009-08-02,,7,33.8,PDF,,18.7,,,Nanos Research,
262,8.6,FALSE,34.9,2009-08-04,,10.8,31.9,PDF,,13.8,,,EKOS Research Associates,
261,9,FALSE,32.7,2009-08-11,,10.1,31,PDF,,16.5,,,EKOS Research Associates,
260,8.7,FALSE,32,2009-08-18,,11,30.2,PDF,,17.3,,,EKOS Research Associates,
